SupplierID,CompanyName,ContactName,ContactTitle,Address,City,Region,PostalCode,Country,Phone,Fax,HomePage
1,小米智能家居,李亮,CTO,云南省武汉市合川傅路S座 111392,林县,北京市,693845,中国,18292001557,13978644504,http://www.小米智能家居.com
2,华为智能生活,童淑珍,销售代表,广西壮族自治区玉珍市魏都银川街z座 560869,伟市,山东省,535096,中国,18955805786,13856829486,http://www.华为智能生活.com
3,苹果智能家庭,张超,业务经理,云南省杨县山亭庄街m座 312911,丹丹市,河北省,753559,中国,15773081067,13930809490,http://www.苹果智能家庭.com
4,亚马逊智能科技,李健,销售经理,广东省北镇市南湖王街O座 815166,成市,辽宁省,819542,中国,15145773351,15263476776,http://www.亚马逊智能科技.com
5,谷歌智能设备,张燕,销售经理,西藏自治区太原县高坪左街S座 409130,雪梅县,湖北省,435702,中国,18919755469,18800663571,http://www.谷歌智能设备.com
6,三星智能家电,王军,市场总监,四川省柳县大兴郑州街a座 223097,淑英市,台湾省,818224,中国,13767293592,15907032945,http://www.三星智能家电.com
7,飞利浦智能照明,萧玉英,CEO,天津市拉萨市长寿杨街M座 934714,淑英县,河南省,413809,中国,13852467271,18528932571,http://www.飞利浦智能照明.com
8,海尔智慧家庭,苏阳,CTO,青海省桂芳市门头沟沈阳路H座 446350,瑞市,湖北省,706813,中国,15589883387,15578565644,http://www.海尔智慧家庭.com
9,美的智能科技,陈雪,销售代表,上海市辛集县西夏长春街p座 941687,南昌市,安徽省,984345,中国,18986536026,13130100407,http://www.美的智能科技.com
10,格力智能电器,张东,销售经理,辽宁省柳县东丽麦路q座 230838,玉华县,浙江省,615703,中国,15358475180,13982770158,http://www.格力智能电器.com
11,博世智能系统,陈阳,市场总监,山东省丹县秀英胡街V座 121281,南宁县,甘肃省,614884,中国,15531556609,18090051179,http://www.博世智能系统.com
12,西门子智能家居,赵桂荣,市场总监,四川省淑兰县大兴何路v座 522531,龙市,湖南省,176025,中国,13464678412,15335980129,http://www.西门子智能家居.com
13,松下智能电器,刘洋,CTO,辽宁省合肥县大东长春路a座 520391,张家港县,辽宁省,230094,中国,15181740523,13461091229,http://www.松下智能电器.com
14,索尼智能科技,陈宇,销售经理,四川省呼和浩特市城北李路C座 747533,潜江县,云南省,326915,中国,13754718332,13405664707,http://www.索尼智能科技.com
15,LG智能家电,韩小红,销售代表,西藏自治区长沙市高明长春街O座 597649,建军市,吉林省,461378,中国,13129709642,15891530551,http://www.lg智能家电.com
